Turno 1 | Jogador 1 | dado1=1 | dado2=4 | soma=5 | total=5
Turno 1 | Jogador 2 | dado1=3 | dado2=5 | soma=8 | total=8
Turno 2 | Jogador 1 | dado1=3 | dado2=1 | soma=4 | total=9
Turno 2 | Jogador 2 | dado1=1 | dado2=4 | soma=5 | total=13
Turno 3 | Jogador 1 | dado1=6 | dado2=1 | soma=7 | total=16
Turno 3 | Jogador 2 | dado1=3 | dado2=3 | soma=6 | total=19
Turno 3 | Jogador 2 | dado1=2 | dado2=5 | soma=7 | total=26
Turno 4 | Jogador 1 | dado1=5 | dado2=2 | soma=7 | total=23
Turno 4 | Jogador 2 | dado1=3 | dado2=3 | soma=6 | total=32
Turno 4 | Jogador 2 | dado1=1 | dado2=3 | soma=4 | total=36
Turno 5 | Jogador 1 | dado1=5 | dado2=2 | soma=7 | total=30
Turno 5 | Jogador 2 | dado1=5 | dado2=4 | soma=9 | total=45
Turno 6 | Jogador 1 | dado1=2 | dado2=2 | soma=4 | total=34
Turno 6 | Jogador 1 | dado1=6 | dado2=5 | soma=11 | total=45
Turno 6 | Jogador 2 | dado1=2 | dado2=3 | soma=5 | total=50
Turno 7 | Jogador 1 | dado1=6 | dado2=3 | soma=9 | total=54
Turno 7 | Jogador 2 | dado1=2 | dado2=6 | soma=8 | total=58
Turno 8 | Jogador 1 | dado1=4 | dado2=5 | soma=9 | total=63
Turno 8 | Jogador 2 | dado1=3 | dado2=3 | soma=6 | total=64
Turno 8 | Jogador 2 | dado1=2 | dado2=4 | soma=6 | total=70
Turno 9 | Jogador 1 | dado1=4 | dado2=1 | soma=5 | total=68
Turno 9 | Jogador 2 | dado1=5 | dado2=4 | soma=9 | total=79
Turno 10 | Jogador 1 | dado1=1 | dado2=6 | soma=7 | total=75
Turno 10 | Jogador 2 | dado1=3 | dado2=4 | soma=7 | total=86
Turno 11 | Jogador 1 | dado1=2 | dado2=2 | soma=4 | total=79
Turno 11 | Jogador 1 | dado1=4 | dado2=3 | soma=7 | total=86
Turno 11 | Jogador 2 | dado1=2 | dado2=5 | soma=7 | total=93
Turno 12 | Jogador 1 | dado1=5 | dado2=5 | soma=10 | total=96
Turno 12 | Jogador 1 | dado1=2 | dado2=1 | soma=3 | total=99
Turno 12 | Jogador 2 | dado1=4 | dado2=5 | soma=9 | total=102
Turno 13 | Jogador 1 | dado1=5 | dado2=2 | soma=7 | total=106
Turno 13 | Jogador 2 | dado1=2 | dado2=3 | soma=5 | total=107
Turno 14 | Jogador 1 | dado1=6 | dado2=1 | soma=7 | total=113
Turno 14 | Jogador 2 | dado1=4 | dado2=6 | soma=10 | total=117
Turno 15 | Jogador 1 | dado1=4 | dado2=4 | soma=8 | total=121
Turno 15 | Jogador 1 | dado1=4 | dado2=6 | soma=10 | total=131
Turno 15 | Jogador 2 | dado1=4 | dado2=3 | soma=7 | total=124
Turno 16 | Jogador 1 | dado1=5 | dado2=1 | soma=6 | total=137
Turno 16 | Jogador 2 | dado1=5 | dado2=2 | soma=7 | total=131
Turno 17 | Jogador 1 | dado1=1 | dado2=3 | soma=4 | total=141
Turno 17 | Jogador 2 | dado1=5 | dado2=4 | soma=9 | total=140
Turno 18 | Jogador 1 | dado1=3 | dado2=3 | soma=6 | total=147
Turno 18 | Jogador 1 | dado1=1 | dado2=3 | soma=4 | total=151
Turno 18 | Jogador 2 | dado1=2 | dado2=6 | soma=8 | total=148
Turno 19 | Jogador 1 | dado1=2 | dado2=6 | soma=8 | total=159
Turno 19 | Jogador 2 | dado1=1 | dado2=2 | soma=3 | total=151
Turno 20 | Jogador 1 | dado1=4 | dado2=5 | soma=9 | total=168
Turno 20 | Jogador 2 | dado1=5 | dado2=6 | soma=11 | total=162
