This weeks key: Numbers: [50, 1, 48, 31, 12] Stars: [2, 5]

And this weeks bets were:

Bet 1: Numbers: [32, 43, 32, 22, 29] Stars: [7, 8] Not a winner
Bet 2: Numbers: [44, 32, 1, 21, 43] Stars: [8, 6] Not a winner
Bet 3: Numbers: [31, 15, 41, 26, 33] Stars: [11, 1] Not a winner
Bet 4: Numbers: [23, 19, 45, 19, 17] Stars: [3, 10] Not a winner
Bet 5: Numbers: [25, 31, 16, 31, 31] Stars: [2, 6] Not a winner
Bet 6: Numbers: [32, 25, 8, 36, 24] Stars: [3, 2] Not a winner
Bet 7: Numbers: [25, 12, 36, 9, 48] Stars: [10, 3] Not a winner
Bet 8: Numbers: [14, 36, 49, 4, 37] Stars: [9, 6] Not a winner
Bet 9: Numbers: [32, 10, 13, 18, 1] Stars: [7, 7] Not a winner
Bet 10: Numbers: [14, 19, 5, 26, 34] Stars: [1, 4] Not a winner
Bet 11: Numbers: [49, 9, 19, 23, 22] Stars: [4, 4] Not a winner
Bet 12: Numbers: [30, 46, 8, 7, 17] Stars: [3, 9] Not a winner
Bet 13: Numbers: [45, 15, 44, 3, 47] Stars: [4, 10] Not a winner
Bet 14: Numbers: [1, 24, 12, 28, 21] Stars: [9, 3] Not a winner
Bet 15: Numbers: [22, 48, 16, 16, 23] Stars: [12, 6] Not a winner
Bet 16: Numbers: [18, 25, 28, 39, 5] Stars: [9, 9] Not a winner
Bet 17: Numbers: [33, 19, 43, 11, 11] Stars: [1, 12] Not a winner
Bet 18: Numbers: [19, 44, 29, 45, 33] Stars: [7, 2] Not a winner
Bet 19: Numbers: [28, 11, 41, 11, 31] Stars: [2, 2] Not a winner
Bet 20: Numbers: [35, 13, 43, 13, 49] Stars: [3, 1] Not a winner
Bet 21: Numbers: [4, 42, 43, 25, 19] Stars: [2, 8] Not a winner
Bet 22: Numbers: [35, 26, 22, 3, 31] Stars: [11, 10] Not a winner
Bet 23: Numbers: [23, 8, 35, 49, 37] Stars: [8, 12] Not a winner
Bet 24: Numbers: [8, 9, 45, 41, 48] Stars: [7, 6] Not a winner
Bet 25: Numbers: [21, 43, 31, 42, 14] Stars: [2, 9] Not a winner
Bet 26: Numbers: [41, 21, 29, 19, 14] Stars: [4, 5] Not a winner
Bet 27: Numbers: [9, 34, 35, 32, 9] Stars: [10, 3] Not a winner
Bet 28: Numbers: [5, 2, 40, 25, 11] Stars: [2, 11] Not a winner
Bet 29: Numbers: [15, 13, 22, 18, 25] Stars: [11, 11] Not a winner
Bet 30: Numbers: [39, 8, 30, 32, 20] Stars: [1, 6] Not a winner
Bet 31: Numbers: [33, 18, 5, 43, 30] Stars: [11, 9] Not a winner
Bet 32: Numbers: [20, 18, 46, 5, 33] Stars: [7, 8] Not a winner
Bet 33: Numbers: [31, 2, 2, 22, 26] Stars: [12, 4] Not a winner
Bet 34: Numbers: [34, 39, 10, 41, 47] Stars: [12, 3] Not a winner
Bet 35: Numbers: [4, 6, 12, 25, 27] Stars: [5, 6] Not a winner
Bet 36: Numbers: [20, 11, 21, 22, 19] Stars: [7, 2] Not a winner
Bet 37: Numbers: [17, 28, 43, 17, 22] Stars: [1, 3] Not a winner
Bet 38: Numbers: [18, 30, 23, 44, 20] Stars: [9, 6] Not a winner
Bet 39: Numbers: [46, 3, 16, 20, 47] Stars: [11, 12] Not a winner
Bet 40: Numbers: [40, 7, 34, 34, 10] Stars: [8, 9] Not a winner
Bet 41: Numbers: [7, 12, 20, 36, 43] Stars: [7, 2] Not a winner
Bet 42: Numbers: [25, 46, 20, 35, 23] Stars: [2, 4] Not a winner
Bet 43: Numbers: [24, 28, 38, 47, 3] Stars: [3, 1] Not a winner
Bet 44: Numbers: [28, 39, 14, 28, 29] Stars: [3, 8] Not a winner
Bet 45: Numbers: [24, 1, 5, 28, 33] Stars: [2, 7] Not a winner
Bet 46: Numbers: [17, 37, 48, 6, 14] Stars: [4, 9] Not a winner
Bet 47: Numbers: [34, 36, 37, 16, 13] Stars: [8, 7] Not a winner
Bet 48: Numbers: [32, 17, 15, 15, 34] Stars: [5, 10] Not a winner
Bet 49: Numbers: [17, 44, 44, 24, 6] Stars: [11, 11] Not a winner
Bet 50: Numbers: [23, 10, 11, 37, 24] Stars: [11, 8] Not a winner
Bet 51: Numbers: [14, 45, 8, 40, 21] Stars: [1, 4] Not a winner
Bet 52: Numbers: [28, 7, 38, 44, 38] Stars: [7, 1] Not a winner
Bet 53: Numbers: [31, 14, 5, 45, 17] Stars: [3, 6] Not a winner
Bet 54: Numbers: [36, 13, 45, 31, 25] Stars: [6, 2] Not a winner
Bet 55: Numbers: [4, 31, 46, 30, 20] Stars: [11, 6] Not a winner
Bet 56: Numbers: [18, 6, 26, 11, 18] Stars: [6, 1] Not a winner
Bet 57: Numbers: [4, 50, 21, 36, 23] Stars: [11, 7] Not a winner
Bet 58: Numbers: [6, 10, 42, 15, 40] Stars: [1, 3] Not a winner
Bet 59: Numbers: [50, 31, 27, 17, 18] Stars: [5, 10] Not a winner
Bet 60: Numbers: [21, 49, 36, 12, 19] Stars: [10, 2] Not a winner
Bet 61: Numbers: [27, 18, 48, 31, 23] Stars: [10, 11] Not a winner
Bet 62: Numbers: [20, 15, 27, 23, 42] Stars: [2, 1] Not a winner
Bet 63: Numbers: [24, 14, 39, 1, 50] Stars: [12, 9] Not a winner
Bet 64: Numbers: [37, 16, 12, 39, 11] Stars: [1, 3] Not a winner
Bet 65: Numbers: [7, 34, 14, 23, 18] Stars: [10, 12] Not a winner
Bet 66: Numbers: [48, 24, 22, 18, 45] Stars: [3, 11] Not a winner
Bet 67: Numbers: [39, 25, 46, 16, 9] Stars: [4, 12] Not a winner
Bet 68: Numbers: [14, 3, 35, 41, 42] Stars: [1, 10] Not a winner
Bet 69: Numbers: [26, 41, 20, 45, 30] Stars: [11, 4] Not a winner
Bet 70: Numbers: [43, 11, 35, 44, 45] Stars: [8, 3] Not a winner
Bet 71: Numbers: [49, 3, 43, 11, 25] Stars: [9, 11] Not a winner
Bet 72: Numbers: [20, 18, 26, 11, 18] Stars: [8, 9] Not a winner
Bet 73: Numbers: [3, 21, 31, 20, 44] Stars: [8, 2] Not a winner
Bet 74: Numbers: [31, 15, 41, 31, 15] Stars: [6, 3] Not a winner
Bet 75: Numbers: [40, 26, 27, 37, 2] Stars: [6, 12] Not a winner
Bet 76: Numbers: [40, 33, 19, 9, 16] Stars: [7, 3] Not a winner
Bet 77: Numbers: [37, 29, 23, 45, 23] Stars: [11, 1] Not a winner
Bet 78: Numbers: [49, 43, 19, 48, 12] Stars: [5, 9] Not a winner
Bet 79: Numbers: [26, 50, 32, 5, 3] Stars: [5, 2] Not a winner
Bet 80: Numbers: [42, 5, 19, 18, 42] Stars: [12, 6] Not a winner
Bet 81: Numbers: [40, 8, 4, 12, 47] Stars: [3, 7] Not a winner
Bet 82: Numbers: [14, 30, 35, 32, 40] Stars: [10, 1] Not a winner
Bet 83: Numbers: [33, 26, 37, 39, 39] Stars: [5, 1] Not a winner
Bet 84: Numbers: [34, 6, 4, 14, 11] Stars: [1, 10] Not a winner
Bet 85: Numbers: [22, 44, 24, 6, 45] Stars: [11, 12] Not a winner
Bet 86: Numbers: [35, 17, 47, 20, 50] Stars: [12, 9] Not a winner
Bet 87: Numbers: [22, 38, 43, 5, 32] Stars: [2, 5] Not a winner
Bet 88: Numbers: [33, 48, 45, 45, 29] Stars: [5, 3] Not a winner
Bet 89: Numbers: [30, 20, 18, 1, 6] Stars: [4, 7] Not a winner
Bet 90: Numbers: [47, 16, 33, 42, 2] Stars: [9, 5] Not a winner
Bet 91: Numbers: [38, 17, 36, 31, 7] Stars: [2, 10] Not a winner
Bet 92: Numbers: [45, 30, 42, 48, 13] Stars: [10, 2] Not a winner
Bet 93: Numbers: [33, 14, 6, 16, 29] Stars: [11, 3] Not a winner
Bet 94: Numbers: [35, 25, 40, 44, 31] Stars: [7, 3] Not a winner
Bet 95: Numbers: [11, 14, 37, 8, 34] Stars: [3, 3] Not a winner
Bet 96: Numbers: [24, 48, 30, 3, 31] Stars: [12, 5] Not a winner
Bet 97: Numbers: [9, 45, 21, 22, 40] Stars: [5, 9] Not a winner
Bet 98: Numbers: [4, 15, 48, 9, 44] Stars: [4, 12] Not a winner
Bet 99: Numbers: [35, 25, 40, 35, 47] Stars: [6, 2] Not a winner
Bet 100: Numbers: [25, 20, 38, 14, 46] Stars: [10, 12] Not a winner
Bet 101: Numbers: [6, 40, 16, 48, 24] Stars: [2, 3] Not a winner
Bet 102: Numbers: [11, 39, 49, 13, 5] Stars: [1, 2] Not a winner
Bet 103: Numbers: [25, 16, 33, 12, 18] Stars: [12, 3] Not a winner
Bet 104: Numbers: [37, 3, 15, 44, 50] Stars: [8, 11] Not a winner
Bet 105: Numbers: [21, 23, 40, 18, 18] Stars: [4, 12] Not a winner
Bet 106: Numbers: [24, 33, 49, 43, 34] Stars: [10, 1] Not a winner
Bet 107: Numbers: [2, 10, 10, 28, 45] Stars: [3, 8] Not a winner
Bet 108: Numbers: [37, 3, 34, 16, 23] Stars: [11, 2] Not a winner
Bet 109: Numbers: [44, 41, 4, 22, 6] Stars: [6, 5] Not a winner
Bet 110: Numbers: [31, 50, 39, 16, 11] Stars: [3, 11] Not a winner
Bet 111: Numbers: [29, 15, 23, 28, 28] Stars: [3, 2] Not a winner
Bet 112: Numbers: [36, 32, 42, 5, 11] Stars: [4, 1] Not a winner
Bet 113: Numbers: [31, 2, 8, 9, 18] Stars: [12, 10] Not a winner
Bet 114: Numbers: [5, 29, 27, 29, 46] Stars: [12, 7] Not a winner
Bet 115: Numbers: [24, 16, 35, 36, 23] Stars: [10, 12] Not a winner
Bet 116: Numbers: [34, 16, 24, 15, 20] Stars: [1, 9] Not a winner
Bet 117: Numbers: [49, 25, 40, 33, 26] Stars: [6, 4] Not a winner
Bet 118: Numbers: [19, 29, 18, 44, 35] Stars: [7, 2] Not a winner
Bet 119: Numbers: [41, 40, 20, 34, 37] Stars: [8, 12] Not a winner
Bet 120: Numbers: [10, 32, 35, 20, 42] Stars: [9, 6] Not a winner
Bet 121: Numbers: [24, 27, 43, 20, 33] Stars: [5, 5] Not a winner
Bet 122: Numbers: [45, 15, 3, 47, 50] Stars: [4, 2] Not a winner
Bet 123: Numbers: [7, 15, 25, 37, 33] Stars: [1, 2] Not a winner
Bet 124: Numbers: [24, 9, 46, 20, 47] Stars: [2, 7] Not a winner
Bet 125: Numbers: [14, 21, 7, 7, 1] Stars: [4, 8] Not a winner
Bet 126: Numbers: [17, 47, 49, 42, 45] Stars: [3, 6] Not a winner
Bet 127: Numbers: [34, 12, 45, 22, 35] Stars: [7, 1] Not a winner
Bet 128: Numbers: [24, 26, 28, 43, 1] Stars: [11, 10] Not a winner
Bet 129: Numbers: [23, 43, 32, 45, 21] Stars: [10, 12] Not a winner
Bet 130: Numbers: [36, 35, 2, 6, 22] Stars: [2, 11] Not a winner
Bet 131: Numbers: [35, 12, 7, 29, 3] Stars: [8, 12] Not a winner
Bet 132: Numbers: [40, 30, 27, 30, 38] Stars: [8, 5] Not a winner
Bet 133: Numbers: [46, 17, 49, 49, 50] Stars: [5, 1] Not a winner
Bet 134: Numbers: [2, 32, 18, 31, 3] Stars: [9, 3] Not a winner
Bet 135: Numbers: [5, 4, 8, 3, 48] Stars: [6, 9] Not a winner
Bet 136: Numbers: [34, 43, 31, 25, 7] Stars: [9, 9] Not a winner
Bet 137: Numbers: [30, 6, 19, 24, 39] Stars: [12, 2] Not a winner
Bet 138: Numbers: [30, 32, 32, 29, 19] Stars: [10, 10] Not a winner
Bet 139: Numbers: [22, 12, 21, 3, 35] Stars: [8, 1] Not a winner
Bet 140: Numbers: [48, 4, 26, 49, 3] Stars: [10, 1] Not a winner
Bet 141: Numbers: [15, 39, 39, 20, 32] Stars: [10, 8] Not a winner
Bet 142: Numbers: [15, 17, 40, 41, 22] Stars: [2, 9] Not a winner
Bet 143: Numbers: [17, 24, 46, 29, 19] Stars: [8, 8] Not a winner
Bet 144: Numbers: [23, 2, 40, 1, 8] Stars: [5, 2] Not a winner
Bet 145: Numbers: [46, 8, 15, 44, 49] Stars: [9, 2] Not a winner
Bet 146: Numbers: [27, 40, 39, 20, 10] Stars: [3, 8] Not a winner
Bet 147: Numbers: [29, 11, 47, 2, 25] Stars: [7, 9] Not a winner
