This weeks key: Numbers: [18, 38, 46, 9, 39] Stars: [8, 3]

And this weeks bets were:

Bet 1: Numbers: [42, 23, 26, 30, 50] Stars: [3, 7] Not a winner
Bet 2: Numbers: [14, 7, 16, 36, 16] Stars: [5, 10] Not a winner
Bet 3: Numbers: [34, 21, 6, 12, 32] Stars: [5, 1] Not a winner
Bet 4: Numbers: [13, 23, 25, 34, 33] Stars: [10, 3] Not a winner
Bet 5: Numbers: [18, 11, 24, 43, 7] Stars: [2, 1] Not a winner
Bet 6: Numbers: [8, 6, 20, 31, 20] Stars: [9, 11] Not a winner
Bet 7: Numbers: [26, 12, 45, 9, 17] Stars: [4, 5] Not a winner
Bet 8: Numbers: [11, 45, 23, 6, 11] Stars: [8, 2] Not a winner
Bet 9: Numbers: [42, 28, 24, 5, 12] Stars: [4, 3] Not a winner
Bet 10: Numbers: [31, 40, 15, 45, 1] Stars: [11, 7] Not a winner
Bet 11: Numbers: [24, 27, 44, 26, 44] Stars: [4, 9] Not a winner
Bet 12: Numbers: [8, 20, 15, 17, 49] Stars: [10, 6] Not a winner
Bet 13: Numbers: [10, 42, 6, 13, 26] Stars: [4, 12] Not a winner
Bet 14: Numbers: [20, 6, 21, 12, 20] Stars: [2, 4] Not a winner
Bet 15: Numbers: [47, 15, 43, 40, 26] Stars: [11, 7] Not a winner
Bet 16: Numbers: [46, 33, 45, 34, 4] Stars: [8, 8] Not a winner
Bet 17: Numbers: [5, 42, 8, 37, 49] Stars: [1, 10] Not a winner
Bet 18: Numbers: [38, 9, 28, 37, 43] Stars: [6, 1] Not a winner
Bet 19: Numbers: [34, 17, 36, 4, 1] Stars: [12, 3] Not a winner
Bet 20: Numbers: [49, 44, 31, 21, 46] Stars: [12, 12] Not a winner
Bet 21: Numbers: [19, 4, 37, 7, 31] Stars: [9, 8] Not a winner
Bet 22: Numbers: [30, 49, 25, 44, 43] Stars: [3, 11] Not a winner
Bet 23: Numbers: [42, 42, 34, 8, 9] Stars: [1, 12] Not a winner
Bet 24: Numbers: [34, 14, 38, 48, 46] Stars: [7, 9] Not a winner
Bet 25: Numbers: [1, 42, 23, 17, 33] Stars: [3, 6] Not a winner
Bet 26: Numbers: [28, 1, 39, 45, 35] Stars: [11, 9] Not a winner
Bet 27: Numbers: [6, 28, 21, 1, 34] Stars: [11, 6] Not a winner
Bet 28: Numbers: [12, 25, 41, 15, 5] Stars: [10, 8] Not a winner
Bet 29: Numbers: [15, 29, 12, 9, 43] Stars: [3, 12] Not a winner
Bet 30: Numbers: [10, 19, 17, 29, 28] Stars: [8, 3] Not a winner
Bet 31: Numbers: [43, 46, 34, 23, 41] Stars: [6, 11] Not a winner
Bet 32: Numbers: [10, 2, 17, 48, 20] Stars: [12, 2] Not a winner
Bet 33: Numbers: [18, 37, 48, 17, 4] Stars: [11, 12] Not a winner
Bet 34: Numbers: [46, 30, 22, 7, 37] Stars: [11, 9] Not a winner
Bet 35: Numbers: [22, 42, 16, 18, 6] Stars: [10, 12] Not a winner
Bet 36: Numbers: [18, 44, 26, 9, 25] Stars: [4, 3] Not a winner
Bet 37: Numbers: [41, 15, 21, 45, 24] Stars: [3, 4] Not a winner
Bet 38: Numbers: [49, 10, 31, 20, 8] Stars: [7, 1] Not a winner
Bet 39: Numbers: [46, 46, 9, 43, 21] Stars: [9, 7] Not a winner
Bet 40: Numbers: [17, 30, 45, 1, 42] Stars: [2, 4] Not a winner
Bet 41: Numbers: [33, 20, 4, 43, 35] Stars: [4, 4] Not a winner
Bet 42: Numbers: [8, 38, 29, 8, 3] Stars: [12, 6] Not a winner
Bet 43: Numbers: [37, 12, 40, 14, 5] Stars: [1, 6] Not a winner
Bet 44: Numbers: [41, 38, 29, 3, 36] Stars: [11, 9] Not a winner
Bet 45: Numbers: [50, 50, 12, 36, 43] Stars: [5, 1] Not a winner
Bet 46: Numbers: [38, 19, 35, 37, 36] Stars: [8, 11] Not a winner
Bet 47: Numbers: [38, 35, 14, 32, 27] Stars: [10, 7] Not a winner
Bet 48: Numbers: [36, 32, 46, 23, 23] Stars: [5, 5] Not a winner
Bet 49: Numbers: [23, 35, 44, 22, 26] Stars: [1, 7] Not a winner
Bet 50: Numbers: [8, 34, 29, 47, 32] Stars: [7, 11] Not a winner
Bet 51: Numbers: [32, 14, 1, 44, 20] Stars: [2, 2] Not a winner
Bet 52: Numbers: [30, 2, 11, 13, 1] Stars: [5, 11] Not a winner
Bet 53: Numbers: [2, 44, 35, 15, 44] Stars: [1, 11] Not a winner
Bet 54: Numbers: [41, 40, 5, 4, 43] Stars: [3, 4] Not a winner
Bet 55: Numbers: [10, 6, 17, 17, 5] Stars: [9, 6] Not a winner
Bet 56: Numbers: [1, 45, 24, 33, 34] Stars: [5, 1] Not a winner
Bet 57: Numbers: [40, 27, 8, 40, 12] Stars: [12, 7] Not a winner
Bet 58: Numbers: [24, 7, 1, 41, 44] Stars: [3, 11] Not a winner
Bet 59: Numbers: [36, 10, 19, 14, 13] Stars: [10, 12] Not a winner
Bet 60: Numbers: [26, 14, 26, 28, 31] Stars: [5, 10] Not a winner
Bet 61: Numbers: [41, 49, 44, 27, 5] Stars: [12, 11] Not a winner
Bet 62: Numbers: [48, 7, 43, 27, 35] Stars: [8, 11] Not a winner
Bet 63: Numbers: [1, 21, 50, 20, 8] Stars: [7, 2] Not a winner
Bet 64: Numbers: [40, 43, 50, 49, 10] Stars: [1, 12] Not a winner
Bet 65: Numbers: [31, 31, 25, 33, 33] Stars: [8, 5] Not a winner
Bet 66: Numbers: [8, 4, 18, 48, 45] Stars: [1, 4] Not a winner
Bet 67: Numbers: [29, 40, 4, 36, 28] Stars: [6, 9] Not a winner
Bet 68: Numbers: [3, 23, 29, 23, 14] Stars: [4, 9] Not a winner
Bet 69: Numbers: [46, 15, 13, 6, 12] Stars: [6, 8] Not a winner
Bet 70: Numbers: [17, 40, 1, 46, 10] Stars: [5, 4] Not a winner
Bet 71: Numbers: [40, 48, 22, 12, 12] Stars: [3, 9] Not a winner
Bet 72: Numbers: [24, 41, 19, 4, 32] Stars: [10, 11] Not a winner
Bet 73: Numbers: [12, 46, 3, 42, 17] Stars: [3, 3] Not a winner
Bet 74: Numbers: [16, 13, 50, 14, 49] Stars: [5, 8] Not a winner
Bet 75: Numbers: [47, 32, 3, 13, 15] Stars: [7, 5] Not a winner
Bet 76: Numbers: [3, 35, 36, 21, 46] Stars: [9, 3] Not a winner
Bet 77: Numbers: [35, 43, 29, 19, 40] Stars: [9, 9] Not a winner
Bet 78: Numbers: [25, 29, 48, 28, 31] Stars: [9, 9] Not a winner
Bet 79: Numbers: [29, 49, 12, 13, 38] Stars: [1, 4] Not a winner
Bet 80: Numbers: [38, 49, 29, 40, 36] Stars: [2, 4] Not a winner
Bet 81: Numbers: [29, 17, 24, 11, 13] Stars: [3, 8] Not a winner
Bet 82: Numbers: [27, 38, 47, 37, 12] Stars: [9, 8] Not a winner
Bet 83: Numbers: [24, 43, 9, 49, 21] Stars: [9, 1] Not a winner
Bet 84: Numbers: [18, 12, 22, 31, 39] Stars: [4, 3] Not a winner
Bet 85: Numbers: [31, 27, 11, 5, 42] Stars: [4, 2] Not a winner
Bet 86: Numbers: [7, 28, 45, 41, 24] Stars: [10, 12] Not a winner
Bet 87: Numbers: [29, 50, 9, 39, 8] Stars: [2, 4] Not a winner
Bet 88: Numbers: [48, 3, 1, 12, 5] Stars: [2, 10] Not a winner
Bet 89: Numbers: [2, 22, 50, 26, 24] Stars: [10, 10] Not a winner
Bet 90: Numbers: [4, 21, 9, 3, 1] Stars: [7, 9] Not a winner
Bet 91: Numbers: [43, 50, 48, 20, 42] Stars: [1, 10] Not a winner
Bet 92: Numbers: [11, 22, 9, 8, 42] Stars: [12, 7] Not a winner
Bet 93: Numbers: [38, 6, 31, 31, 23] Stars: [6, 10] Not a winner
Bet 94: Numbers: [27, 2, 12, 9, 22] Stars: [2, 7] Not a winner
Bet 95: Numbers: [39, 40, 29, 50, 18] Stars: [2, 4] Not a winner
Bet 96: Numbers: [34, 6, 21, 43, 16] Stars: [6, 1] Not a winner
Bet 97: Numbers: [14, 49, 46, 14, 1] Stars: [4, 1] Not a winner
Bet 98: Numbers: [30, 37, 9, 38, 36] Stars: [2, 10] Not a winner
Bet 99: Numbers: [45, 2, 27, 35, 48] Stars: [2, 11] Not a winner
Bet 100: Numbers: [18, 13, 48, 35, 35] Stars: [1, 6] Not a winner
Bet 101: Numbers: [41, 13, 32, 3, 19] Stars: [6, 11] Not a winner
Bet 102: Numbers: [38, 2, 13, 12, 30] Stars: [9, 6] Not a winner
Bet 103: Numbers: [2, 4, 19, 46, 41] Stars: [10, 10] Not a winner
Bet 104: Numbers: [39, 22, 35, 33, 47] Stars: [10, 2] Not a winner
Bet 105: Numbers: [17, 2, 36, 27, 4] Stars: [9, 12] Not a winner
Bet 106: Numbers: [48, 50, 6, 26, 47] Stars: [7, 12] Not a winner
Bet 107: Numbers: [27, 37, 17, 32, 17] Stars: [10, 12] Not a winner
Bet 108: Numbers: [50, 21, 22, 23, 22] Stars: [7, 3] Not a winner
Bet 109: Numbers: [39, 18, 42, 33, 22] Stars: [8, 8] Not a winner
Bet 110: Numbers: [4, 36, 24, 16, 11] Stars: [4, 6] Not a winner
Bet 111: Numbers: [26, 19, 49, 40, 22] Stars: [10, 10] Not a winner
Bet 112: Numbers: [33, 47, 1, 41, 16] Stars: [3, 10] Not a winner
Bet 113: Numbers: [47, 14, 21, 8, 18] Stars: [5, 6] Not a winner
Bet 114: Numbers: [39, 31, 21, 27, 19] Stars: [12, 6] Not a winner
Bet 115: Numbers: [38, 4, 7, 46, 39] Stars: [8, 1] Not a winner
Bet 116: Numbers: [17, 20, 24, 29, 10] Stars: [3, 2] Not a winner
Bet 117: Numbers: [26, 20, 20, 19, 9] Stars: [10, 2] Not a winner
Bet 118: Numbers: [42, 38, 5, 8, 16] Stars: [5, 10] Not a winner
Bet 119: Numbers: [50, 1, 8, 9, 4] Stars: [12, 12] Not a winner
Bet 120: Numbers: [12, 46, 33, 39, 10] Stars: [10, 8] Not a winner
Bet 121: Numbers: [25, 32, 15, 25, 5] Stars: [12, 8] Not a winner
Bet 122: Numbers: [46, 28, 37, 42, 29] Stars: [1, 7] Not a winner
Bet 123: Numbers: [46, 6, 17, 11, 8] Stars: [3, 3] Not a winner
Bet 124: Numbers: [5, 32, 9, 24, 35] Stars: [12, 7] Not a winner
Bet 125: Numbers: [20, 41, 14, 37, 2] Stars: [11, 4] Not a winner
Bet 126: Numbers: [38, 30, 37, 49, 22] Stars: [12, 10] Not a winner
Bet 127: Numbers: [42, 4, 15, 23, 9] Stars: [9, 1] Not a winner
Bet 128: Numbers: [10, 45, 47, 7, 42] Stars: [10, 1] Not a winner
Bet 129: Numbers: [29, 34, 50, 17, 42] Stars: [11, 8] Not a winner
Bet 130: Numbers: [43, 4, 36, 35, 31] Stars: [4, 9] Not a winner
Bet 131: Numbers: [8, 17, 1, 40, 37] Stars: [1, 11] Not a winner
Bet 132: Numbers: [3, 38, 6, 47, 9] Stars: [4, 4] Not a winner
Bet 133: Numbers: [45, 31, 47, 18, 6] Stars: [8, 8] Not a winner
Bet 134: Numbers: [48, 24, 5, 42, 2] Stars: [4, 10] Not a winner
Bet 135: Numbers: [25, 47, 3, 30, 42] Stars: [4, 1] Not a winner
Bet 136: Numbers: [50, 6, 44, 38, 48] Stars: [10, 4] Not a winner
Bet 137: Numbers: [20, 27, 17, 34, 40] Stars: [11, 6] Not a winner
Bet 138: Numbers: [17, 22, 37, 36, 46] Stars: [10, 7] Not a winner
Bet 139: Numbers: [1, 14, 31, 1, 41] Stars: [10, 5] Not a winner
Bet 140: Numbers: [48, 45, 38, 23, 17] Stars: [11, 11] Not a winner
Bet 141: Numbers: [12, 39, 3, 13, 40] Stars: [3, 5] Not a winner
Bet 142: Numbers: [47, 23, 23, 29, 24] Stars: [12, 4] Not a winner
Bet 143: Numbers: [31, 48, 30, 18, 13] Stars: [4, 1] Not a winner
Bet 144: Numbers: [6, 45, 11, 3, 16] Stars: [6, 11] Not a winner
Bet 145: Numbers: [18, 7, 41, 40, 36] Stars: [9, 1] Not a winner
Bet 146: Numbers: [9, 28, 36, 1, 49] Stars: [7, 7] Not a winner
Bet 147: Numbers: [36, 13, 10, 2, 17] Stars: [6, 12] Not a winner
